R,Nome
A,LUKAKU R
A,CRISTIANO RONALDO
A,ZAPATA D
A,JOAO PEDRO
A,DZEKO
A,CAPUTO
C,GOMEZ A
A,MARTINEZ L
C,LUIS ALBERTO
A,ILICIC
A,MURIEL
A,DYBALA
A,MILIK
A,BELOTTI
C,NAINGGOLAN
A,CORREA
A,BERARDI
A,HIGUAIN
A,PALACIO
D,GOSENS
A,SIMEONE
C,KULUSEVSKI
C,RIBERY
A,MERTENS
A,BOGA
D,BONUCCI
C,CASTROVILLI
C,MILINKOVIC-SAVIC
A,ORSOLINI
A,KOUAME'
A,PIATEK
A,GABBIADINI
C,PJANIC
C,PELLEGRINI LO
A,INSIGNE
A,LLORENTE
D,HERNANDEZ T
D,SMALLING
C,PASALIC
C,CHIESA
C,BROZOVIC
C,CANDREVA
C,ZANIOLO
C,ANSALDI
A,OKAKA
D,DE VRIJ
D,KOLAROV
C,PULGAR
C,MKHITARYAN
A,DONNARUMMA AL
A,GERVINHO
A,QUAGLIARELLA
A,PETAGNA
P,STRAKOSHA
D,MILENKOVIC
D,ACERBI
C,CASTRO
C,MANCOSU
C,KUCKA
C,KLUIVERT
C,BERENGUER
C,NANDEZ
A,BALOTELLI
P,HANDANOVIC
D,FARAONI
C,SENSI
C,VERETOUT
C,RAMIREZ
C,TRAORE' HJ
A,PANDEV
A,CAICEDO
A,FALCO
P,SZCZESNY
P,SEPE
D,CRISCITO
D,MANOLAS
C,TONALI
C,BONAVENTURA
C,CALLEJON
C,DJURICIC
A,SANSONE N
A,LAPADULA
P,DONNARUMMA G
P,PAU LOPEZ
D,CALDERONI
C,SORIANO
C,CALHANOGLU
C,PEROTTI
C,DUNCAN
C,KURTIC
C,MIGUEL VELOSO
A,VLAHOVIC
A,CORNELIUS
A,ZAZA
P,MERET
P,SIRIGU
D,DI LORENZO
C,DE ROON
C,ROMULO
C,BARELLA
A,PINAMONTI
A,LOZANO
A,SANCHEZ A
P,BERISHA E
D,CASTAGNE
D,TOLOI
D,GHIGLIONE
C,FREULER
C,MALINOVSKYI
C,CIGARINI
C,BENTANCUR
C,RAMSEY
C,RUIZ
C,DE PAUL
C,LAZOVIC
A,PAVOLETTI
P,GOLLINI
P,JORONEN
P,OLSEN
P,MUSSO
P,SILVESTRI
D,SKRINIAR
D,CHIELLINI
D,MANCINI G
D,IZZO
D,DARMIAN
C,PESSINA
C,ROG
C,GAGLIARDINI
C,LAZZARI M
C,SUSO
C,VERRE
C,DI FRANCESCO F
C,BASELLI
C,RINCON
C,ZACCAGNI
A,LA MANTIA
A,LASAGNA
A,DI CARMINE
A,RAFAEL LEAO
D,DJIMSITI
D,BANI
D,DALBERT
D,D'AMBROSIO
D,GODIN
D,ROMAGNOLI A
D,IACOPONI
C,DZEMAILI
C,POLI
C,VECINO
C,VERDI
C,ZIELINSKI
C,AMRABAT
A,FARIAS
A,SALCEDO E
A,DEFREL
P,DRAGOWSKI
D,CISTANA
D,PISACANE
D,BRUNO ALVES
D,GAGLIOLO
D,TOLJAN
D,RRAHMANI
C,OLIVA
C,CUADRADO
C,LULIC
C,PETRICCIONE
C,ALLAN
C,BARILLA'
C,UNDER
C,FOFANA
A,INGLESE
A,BONAZZOLI
A,CAPRARI
A,NESTOROVSKI
P,BUFFON
P,GABRIEL
P,AUDERO
P,CONSIGLI
D,HATEBOER
D,DANILO LAR
D,SABELLI
D,CEPPITELLI
D,BIRAGHI
D,PEZZELLA GER
D,ASAMOAH
D,ALEX SANDRO
D,DE LIGT
D,PELLEGRINI LU
D,MAKSIMOVIC
D,SPINAZZOLA
D,DANILO
D,CACERES
D,KYRIAKOPOULOS
C,KREJCI
C,STURARO
C,DOUGLAS COSTA
C,MATUIDI
C,BADELJ
C,SCOZZARELLA
C,CRISTANTE
C,EKDAL
C,STREFEZZA
C,SEMA
A,TORREGROSSA
A,KARAMOH
A,SPROCATI
A,BOATENG
A,IAGO FALQUE
P,SKORUPSKI
P,OSPINA
D,CHANCELLOR
D,ROMERO C
D,LUIZ FELIPE
D,RADU
D,LUCIONI
D,ROSSETTINI
D,DERMAKU
D,FLORENZI
D,COLLEY
D,MARLON
D,VICARI
D,STRYGER LARSEN
D,KUMBULLA
C,BISOLI
C,BERNARDESCHI
C,KHEDIRA
C,MARUSIC
C,HERNANI
C,DIAWARA
C,PASTORE
C,JANKTO
C,LINETTY
C,LOCATELLI M
C,VALOTI
C,MANDRAGORA
C,SCHONE
C,AGUDELO
A,CERRI
A,BABACAR
A,PUSSETTO
A,PAZZINI
A,REBIC
D,TOMIYASU
D,KLAVAN
D,KOULIBALY
D,MURRU
D,LIROLA
D,N'KOULOU
D,NUYTINCK
D,RODRIGO BECAO
D,TROOST-EKONG
D,MULDUR
C,SVANBERG
C,SPALEK
C,IONITA
C,BENASSI
C,RADOVANOVIC
C,CATALDI
C,LUCAS LEIVA
C,PAROLO
C,MAJER
C,SHAKHOV
C,TABANELLI
C,GRASSI
C,MISSIROLI
C,MURGIA
C,BRUGMAN
A,DESTRO
A,SANTANDER
A,SKOV OLSEN
A,POLITANO
A,STEPINSKI
P,RADU I
P,PEGOLO
D,PALOMINO
D,ROMAGNA
D,DEMIRAL
D,DEPAOLI
D,BONIFAZI
D,DE SILVESTRI
D,ANKERSEN
C,FARAGO'
C,BORJA VALERO
C,CAN
C,RABIOT
C,TACHTSIDIS
C,CASTILLEJO
C,KESSIE'
C,KRUNIC
C,LAXALT
C,PAQUETA'
C,MAGNANELLI
C,MEITE'
C,JAJALO
C,GHEZZAL
A,BARROW
A,RAGATZU
A,GUMUS
A,ESPOSITO SE
A,RIGONI E
P,ALFONSO
D,MASIELLO A
D,RECA
D,DENSWIL
D,PAZ
D,MARTELLA
D,MATEJU
D,CACCIATORE
D,PAJAC
D,ZAPATA C
D,BASTONI
D,LUKAKU J
D,PATRIC
D,CALABRIA
D,CONTI
D,MUSACCHIO
D,MALCUIT
D,FAZIO
D,BERESZYNSKI
D,FERRARI A
D,MURILLO
D,PELUSO
D,CIONEK
D,IGOR
D,AINA
D,BREMER
D,PEZZELLA GIU
D,SAMIR
D,GUNTER
D,RISPOLI
D,TOMOVIC
D,ARANA
C,LERAGER
C,LAZARO
C,BENNACER
C,ELMAS
C,VIEIRA
C,OBIANG
C,VALDIFIORI
C,LUKIC
C,BARAK
C,MEDEL
A,AYE'
A,SANABRIA
A,FLOCCARI
A,KALINIC
A,CLEONISE
P,CRAGNO
P,RAFAEL
P,TURATI
D,MBAYE
D,LYKOGIANNIS
D,CECCHERINI
D,BARRECA
D,BIRASCHI
D,DE SCIGLIO
D,BASTOS
D,MECCARIELLO
D,RODRIGUEZ R
D,GHOULAM
D,LUPERTO
D,MARIO RUI
D,SANTON
D,AUGELLO
D,SALA
D,FERRARI G
D,FELIPE
D,LYANCO
D,DE MAIO
D,OPOKU
D,TER AVEST
D,VITALE L
D,DUARTE
D,KJAER
C,MOROSINI
C,NDOJ
C,BIRSA
C,SAPONARA
C,CASSATA
C,JAGIELLO
C,ROVELLA
C,BERISHA V
C,JONY
C,BIGLIA
C,THORSBY
C,ZMRHAL
C,WALACE
C,LERIS
C,BERTOLACCI
A,SOTTIL
A,PALOSCHI
A,PEDRO
P,ROSSI F
P,SPORTIELLO
P,DA COSTA
P,SARR M
P,ANDRENACCI
P,ARESTI
P,BRANCOLINI
P,CEROFOLINI
P,TERRACCIANO
P,JANDREI
P,MARCHETTI
P,VODISEK
P,BERNI
P,PADELLI
P,PERIN
P,PINSOGLIO
P,GUERRIERI
P,PROTO
P,BLEVE
P,VIGORITO
P,DONNARUMMA AN
P,REINA
P,KARNEZIS
P,COLOMBI
P,FUZATO
P,MIRANTE
P,FALCONE
P,THIAM D
P,ROSATI
P,ZACCAGNO
P,NICOLAS
P,PERISAN
P,BERARDI A
P,RADUNOVIC
P,ALASTRA
P,RUSSO A
P,LETICA
P,AVOGADRI
P,SECULIN
P,UJKANI
D,IBANEZ
D,OKOLI
D,CORBO
D,DIJKS
D,CURCIO
D,GASTALDELLO
D,MANGRAVITI
D,SEMPRINI
D,MATTIELLO
D,PINNA
D,WALUKIEWICZ
D,RANIERI L
D,RASMUSSEN
D,TERZIC
D,VENUTI
D,EL YAMIQ
D,DIMARCO
D,RANOCCHIA
D,RUGANI
D,CASASOLA
D,DURMISI
D,JORGE SILVA
D,VAVRO
D,BENZAR
D,FIAMOZZI
D,GALLO
D,RICCARDI D
D,VERA
D,CALDARA
D,GABBIA
D,CHIRICHES
D,HYSAJ
D,TONELLI
D,LAURINI
D,BIANDA
D,BOUAH
D,JUAN JESUS
D,CHABOT
D,REGINI
D,ADJAPONG
D,DELL'ORCO
D,GOLDANIGA
D,MAGNANI
D,ROGERIO
D,TRIPALDELLI
D,SALAMON
D,BUONGIORNO
D,DJIDJI
D,SIERRALTA
D,BOCCHETTI
D,CRESCENZI
D,DAWIDOWICZ
D,EMPEREUR
D,CIPRIANO
D,CETIN
D,ZAPPACOSTA
D,GASOLINA WESLEY
D,DONATI
C,COLLEY E
C,SCHOUTEN
C,DESSENA
C,TREMOLADA
C,VIVIANI M
C,DEIOLA
C,CRISTOFORO
C,DABO
C,EYSSERIC
C,MONTIEL
C,ZURKOWSKI
C,SANDRO
C,ZENNARO
C,AGOUME
C,FAGIOLI
C,PORTANOVA
C,ANDERSON A
C,BORINI
C,CICIRETTI
C,GAETANO
C,YOUNES
C,RICCARDI
C,BARRETO
C,MARONI
C,BOURABIA
C,MAZZITELLI
C,D'ALESSANDRO
C,FARES
C,JANKOVIC
C,DE ANGELIS
C,PARIGINI
C,BADU
C,BESSA
C,DANZI
C,DI GAUDIO
C,HENDERSON L
C,LUCAS FELIPPE
C,IMBULA
A,CAMBIAGHI
A,PICCOLI
A,JUWARA
A,HAN
A,THEREAU
A,FAVILLI
A,PJACA
A,ADEKANYE
A,LO FASO
A,TUTINO
A,ADORANTE
A,SILIGARDI
A,ANTONUCCI
A,CANGIANO
A,BAHLOULI
A,MATRI
A,RASPADORI
A,MONCINI
A,EDERA
A,MILLICO
A,RAUTI
A,TEODORCZYK
A,TUPTA
A,TRAORE' AM
